feature,val,precision,recall,fbeta
occupation,Exec-managerial,0.7774869109947644,0.7795275590551181,0.7785058977719528
occupation,Priv-house-serv,1.0,1.0,1.0
occupation,Prof-specialty,0.8097982708933718,0.7915492957746478,0.8005698005698005
occupation,Craft-repair,0.7142857142857143,0.46703296703296704,0.5647840531561462
occupation,Transport-moving,0.6086956521739131,0.4307692307692308,0.5045045045045045
occupation,Farming-fishing,0.8,0.5,0.6153846153846154
occupation,Other-service,0.75,0.09375,0.16666666666666666
occupation,Handlers-cleaners,0.7142857142857143,0.2631578947368421,0.38461538461538464
occupation,Adm-clerical,0.6385542168674698,0.5145631067961165,0.5698924731182796
occupation,?,0.5652173913043478,0.3939393939393939,0.4642857142857143
occupation,Machine-op-inspct,0.5925925925925926,0.42105263157894735,0.49230769230769234
occupation,Armed-Forces,1.0,1.0,1.0
relationship,Own-child,1.0,0.2857142857142857,0.4444444444444444
relationship,Not-in-family,0.8666666666666667,0.45348837209302323,0.5954198473282443
relationship,Husband,0.7389705882352942,0.6773378264532435,0.7068131868131868
relationship,Unmarried,0.8571428571428571,0.3333333333333333,0.48
relationship,Other-relative,1.0,0.45454545454545453,0.625
relationship,Wife,0.672,0.6774193548387096,0.6746987951807228
race,White,0.7425249169435216,0.6422413793103449,0.6887519260400616
race,Amer-Indian-Eskimo,0.8333333333333334,0.5,0.625
race,Black,0.7571428571428571,0.6385542168674698,0.6928104575163399
race,Other,1.0,0.6666666666666666,0.8
race,Asian-Pac-Islander,0.725,0.6304347826086957,0.6744186046511628
sex,Male,0.7467700258397932,0.6523702031602708,0.6963855421686747
sex,Female,0.7239263803680982,0.5673076923076923,0.6361185983827493
native-country,United-States,0.7423868312757201,0.6429080541696365,0.6890756302521008
native-country,Germany,0.75,0.9,0.8181818181818182
native-country,France,1.0,0.5,0.6666666666666666
native-country,Mexico,1.0,0.5,0.6666666666666666
native-country,Hong,1.0,1.0,1.0
native-country,?,0.6666666666666666,0.5714285714285714,0.6153846153846154
native-country,Columbia,1.0,1.0,1.0
native-country,South,0.6666666666666666,0.5,0.5714285714285714
native-country,Italy,0.0,0.0,0.0
native-country,Canada,0.8333333333333334,0.5555555555555556,0.6666666666666666
native-country,Japan,1.0,0.6,0.75
native-country,El-Salvador,1.0,0.6666666666666666,0.8
native-country,Puerto-Rico,0.5,0.5,0.5
native-country,Vietnam,1.0,0.0,0.0
native-country,England,1.0,0.2,0.3333333333333333
native-country,Hungary,1.0,1.0,1.0
native-country,Cuba,1.0,0.75,0.8571428571428571
native-country,Cambodia,1.0,0.0,0.0
native-country,Ireland,1.0,0.5,0.6666666666666666
native-country,Philippines,0.9090909090909091,0.7692307692307693,0.8333333333333334
native-country,Honduras,1.0,1.0,1.0
native-country,Dominican-Republic,0.0,1.0,0.0
native-country,Iran,0.625,0.8333333333333334,0.7142857142857143
native-country,India,0.7,0.7777777777777778,0.7368421052631579
native-country,Peru,1.0,1.0,1.0
native-country,Jamaica,1.0,1.0,1.0
native-country,Poland,1.0,0.3333333333333333,0.5
native-country,Guatemala,1.0,1.0,1.0
native-country,Portugal,1.0,1.0,1.0
native-country,Ecuador,1.0,1.0,1.0
native-country,Nicaragua,1.0,1.0,1.0
native-country,Laos,1.0,1.0,1.0
native-country,Trinadad&Tobago,1.0,1.0,1.0
native-country,Haiti,1.0,0.0,0.0
native-country,Taiwan,0.5,0.3333333333333333,0.4
native-country,China,1.0,1.0,1.0
native-country,Thailand,1.0,1.0,1.0
native-country,Yugoslavia,0.5,0.5,0.5
native-country,Scotland,1.0,0.0,0.0
native-country,Greece,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
